41.搶人才 何必管國籍,兩位陸生昨天到立法院分享她們的「台灣經驗」，特別對台灣的自由民主印象深刻，對照朝野還在為陸生三法陷入意識形態的泥沼，既過慮又狹隘，顯然是杞人憂天。 昨天兩位陸生到立法院，參觀台灣最高民意殿堂，如沒交換學,2010-07-27,"['陸生', '台灣', '兩位', '立法院', '經驗']"
42.陸生：把台灣先進思想帶回大陸,兩名來台的陸生昨天在立法院分享她們的「台灣經驗」，南京大學化學化工學院博士班的袁濤，目前也是元智大學化材系交換學生，即將返回大陸，她說：「真捨不得離開台灣」。 南京大學化學化工學院的廖明明是碩士班學生，,2010-07-27,"['台灣', '大學化學', '學院', '化工', '兩名']"
43.致遠管理學院 改名台灣首府大學,台南縣致遠管理學院奉准8月1日起改名「台灣首府大學」，昨天揭牌，教育部長吳清基等人出席，與師生一起迎接「台灣首府大學」榮耀時刻來臨，與會者高舉香檳齊祝校運昌隆，充滿濃濃喜氣。 致遠爭取改名大學，歷經4年努,2010-07-27,"['大學', '台灣', '首府', '改名', '縣致']"
44.友銓 買下鴻源杭州廠,大陸環保趨嚴致沿海設廠不易，上市櫃印刷電路板廠今年積極透過併購或法拍取得大陸生產基地，繼金像電子（2368）、志超科技（8213）後，友銓電子（5321）昨（11）日公告取得鴻源科技杭州廠。 友銓屬於工具機大廠友嘉實,2010-07-27,"['大陸', '電子', '環保趨', '嚴致', '設廠']"
45.院長任內常暈眩 曾罹胸腺瘤,前行政院長唐飛在中國大陸生病，今天可能將回台灣治療，應該會送至他曾就醫的台北榮民總醫院接手搶救。 唐飛未擔任行政院長前，曾經因過度勞累，發生暈眩，經三軍總醫院診斷都沒問題。 但八十九年他在行政院長任內，,2010-07-27,"['行政院', '唐飛', '中國大陸', '將回', '台灣']"
46.永慶講座 長庚院長開講,嘉義縣　縣立永慶高中與嘉義長庚醫院合辦「永慶學院講座」，首場昨天下午邀長庚院長許文蔚，演講「長庚醫院醫療服務與社會關懷」。縣長張花冠頒獎感謝院方對永慶學院講座支持，期待同學成為有宏觀國際視野與人文素養,2010-07-27,"['醫院', '講座', '嘉義縣', '縣立永慶', '嘉義長']"
47.三地門 明上午徵才,屏東就業服務站13日上午9點至12點半，在三地門鄉舉辦現場徵才活動，地點在三地門鄉立體育館，現場邀請16家廠商，提供243個工作機會，以傳統產業及服務業為主。 屏縣府 明下午播電影 屏東縣政府13日下午2點在縣府20,2010-07-27,"['13', '地門', '現場', '屏東', '就業']"
48.拚經濟！藍提ECFA全案表決,立法院下周將召開臨時會，藍營提出擬審法案清單，除了兩岸經濟合作架構協議（ECFA）文本外還包括14項法案，國民黨立院黨團書記長林鴻池表示，ECFA類似條約，因此應採全案表決，至於是否逐條審查、要處理哪些法案，都,2010-07-27,"['法案', 'ECFA', '立院', '全案', '將召']"
49.立院臨時會 綠只要ECFA,立法院下周召開二次臨時會處理兩岸經濟協議（ＥＣＦＡ），國民黨立院黨團敲定包括ＥＣＦＡ在內的「十三大法案」在臨時會完成三讀；民進黨團總召柯建銘批評「離譜至極」，民進黨團主張臨時會單純化，應該只處理ＥＣＦ,2010-07-27,"['臨時會', '黨團', '處理', '民進', '立院']"
50.外國學生通報 雲端服務啟動,教育部委託世新大學建置「全國大專校院外國學生資料管理資訊系統」，昨天啟用，透過雲端可減少學校資料處理時間，簡化異動通報行政流程，有居留權的外國學生休、退學等異動，移民署可馬上掌握，未來擬納入僑生及陸生,2010-07-27,"['資料', '異動', '世新大學', '全國大專', '校院']"
51.綠 踴躍發言理性抗爭,立院下周將召開臨時會，討論諸多重大法案，據了解，民進黨為避免激烈抗爭，影響到政黨形象，衝擊到年底五都選情，目前初步傾向以踴躍發言的理性抗爭形式，提供選民判斷。 立法院近幾個會期審查爭議法案時，因民進黨的,2010-08-15,"['抗爭', '法案', '立院', '將召', '開臨']"
52.藍和戰並用 務求全過關,立法院下周將召開臨時會審查ECFA，國民黨並提出14項法案，民進黨則力推ECFA公投案。國民黨方面採和戰並用策略，除了ECFA全案表決的處理原則外，法案內容都可以談，甚至為避免民進黨再度退出臨時會，藍營內部不少法案,2010-08-15,"['ECFA', '法案', '民進', '全案', '將召']"
53.陸生來台 8成民眾：要有配套,立法院本周將舉行二次臨時會，包括處理攸關中國學生來台的「陸生三法」。台灣智庫昨天表示，根據民調，有百分之八十一點七的民眾認為，要有配套管制陸生來台，「三限六不」入法。 台灣智庫執行長鄭麗君說，政府透過行,2010-08-15,"['陸生', '台灣智庫', '將舉行', '臨時會', '處理']"
54.馬英九到佛光山 會國際學員,馬英九總統昨天出席佛光山二○一○國際青年生命學習營結訓典禮，響應佛光山提倡的「做好事、說好話、存好心」三好運動，並接受來自全球各地的學生現場提問，強調開放中國大陸學生來台，可為兩岸和平奠定基礎。 佛光山,2010-08-15,"['佛光山', '三好', '英九總統', '國際', '學習營']"
55.審ECFA交鋒 公投案遭否決,立法院上午舉行談話會，表決通過國民黨所提兩岸經濟架構協議相關修法、陸生來台三法、二代健保等14 項法案，列入臨時會議程。儘管上午朝野相當克制，讓談話會順利進行，但朝野立委發言針鋒相對，不論ECFA審議方式、陸,2010-08-15,"['朝野', '立委', '上午', '舉行', '談話']"
56.立院二次臨會 ECFA恐又大戰,立法院今天將由院長王金平召集朝野進行談話會，決定二次臨時會議程；因朝野缺乏共識，將以表決決定議程，藍綠黨團都發出甲級動員令，立法院內山雨欲來。 朝野今天不約而同都在上午舉行黨團大會，民進黨主席蔡英文將,2010-08-15,"['朝野', '決定', '議程', '立法院', '將由院']"
57.「陸生勤奮 台生創意」 聽了不開心,陸生瘋台灣 馬英九總統決心要在八月的立法院二次臨時會通過「陸生三法」，其實近年已有不少大陸學生以「交換學生」方式來台，去年更開放自費來台「短期研修」。即使在台研修的費用不菲，「在台念一學期，在大陸念四,2010-08-15,"['陸生', '學生', '研修', '瘋台灣', '英九總統']"
58.不准談戀愛 現代版梁祝？,問：對台灣大學生有什麼觀察？ 洪：校園裡好多同性戀！可能是學校很多藝術科系的關係吧？有個超帥的「拉拉」（女同志），大家都知道她的女朋友是誰。這裡好開放，大家都知道誰是（同性戀），大陸就沒有這麼大方了。,2010-08-15,"['同性', '科系', '台灣', '大學生', '什麼']"
59.趙紫陽、達賴禁書＋鳳梨酥 帶回家,期末考結束，來台研習的大陸大學生很忙。忙著採買「手信（伴手禮）」：買超夯的「兩蔣」吊飾、公仔；還像熟門熟路的台灣人，在各家全聯社「掃貨」，蒐購某品牌鳳梨酥。 還忙著打包。有些興奮地交換著行李裡的那些「禁,2010-08-15,"['公仔', '熟路', '期末考', '結束', '來台']"
60.消基會：二代健保別來亂,立法院本周召開臨時會，除了處理ＥＣＦＡ、陸生來台等議題，二代健保也赫然在列。消基會認為，二代健保爭議仍大，且目前沒急迫性，不需要在臨時會中「趁亂闖關」。消基會呼籲立委把二代健保案擋下，並叫衛生署「不要,2010-08-15,"['二代', '臨時會', '消基會', '立委', '召開']"
61.封筆17年 玄小佛上海出新書,著名台灣作家玄小佛日前出席上海書展。在封筆17年後，玄小佛帶來新書—自傳體《狂飆在上海》，而《愛情與激情》、《浪漫愛情探險》、《排行榜上的女人》、《春天的魚》、《無言的羔羊》、《等夢的女人》等六部曾在台,2010-08-15,"['玄小佛', '愛情', '台灣', '書展', '封筆']"
62.汽車認購 跑得快,汽車類股近期成為台股人氣族群，連結裕隆（2201）、中華車（2204）、三陽（2206）三檔個股的權證也交投熱絡，券商指出，汽車業在業績支撐，以及中國內需市場概念，雖然股價已有一波漲幅，但仍可續抱。 裕隆與三陽車受,2010-08-15,"['裕隆', '汽車', '類股', '成為', '股人氣']"
63.逐條表決？ 王金平：全面兼顧,立法院臨時會今天處理兩岸經濟合作架構（ECFA）以及相關法案，對於是否逐條表決朝野解讀不同，王金平上午表示，反正「橫看成嶺側成峰，遠近高低各不同」，各方面都兼顧到了。至於陸生來台三法是否有共識？王金平說朝,2010-08-15,"['王金平', '臨時會', '處理', '兩岸', '經濟']"
64.陸生法一限二不 打工禁令未入法,陸生三法擬將「不承認大陸醫事相關科系學歷」入法規範，台生會表達非常遺憾，並認為一旦入法，未來5至10年內恐怕很難再修法，立院臨時會如果通過入法，台生會將會提出行政訴訟或大法官解釋，挑戰政府刻意排除大陸醫事,2010-08-15,"['入法', '醫事', '科系', '立院', '陸生']"
